hfa_reduction,exp_pts
1,32
0,24
0.05,36
0.1,25
0.15000000000000002,27
0.2,28
0.25,34
0.30000000000000004,22
0.35000000000000003,37
0.4,32
0.45,20
0.5,31
0.55,28
0.6000000000000001,20
0.65,30
0.7000000000000001,26
0.75,30
0.8,21
0.8500000000000001,25
0.9,35
0.9500000000000001,26
1,34
0,29
0.05,36
0.1,29
0.15000000000000002,25
0.2,30
0.25,34
0.30000000000000004,26
0.35000000000000003,36
0.4,27
0.45,33
0.5,31
0.55,26
0.6000000000000001,29
0.65,34
0.7000000000000001,26
0.75,29
0.8,25
0.8500000000000001,33
0.9,35
0.9500000000000001,24
1,24
0,32
0.05,36
0.1,33
0.15000000000000002,25
0.2,20
0.25,29
0.30000000000000004,33
0.35000000000000003,27
0.4,34
0.45,27
0.5,32
0.55,26
0.6000000000000001,22
0.65,23
0.7000000000000001,24
0.75,27
0.8,28
0.8500000000000001,27
0.9,28
0.9500000000000001,26
1,27
0,26
0.05,37
0.1,36
0.15000000000000002,24
0.2,29
0.25,32
0.30000000000000004,24
0.35000000000000003,37
0.4,20
0.45,20
0.5,33
0.55,28
0.6000000000000001,28
0.65,27
0.7000000000000001,25
0.75,29
0.8,26
0.8500000000000001,35
0.9,36
0.9500000000000001,29
1,18
0,25
0.05,26
0.1,28
0.15000000000000002,35
0.2,24
0.25,30
0.30000000000000004,33
0.35000000000000003,30
0.4,31
0.45,23
0.5,28
0.55,30
0.6000000000000001,33
0.65,32
0.7000000000000001,29
0.75,27
0.8,26
0.8500000000000001,24
0.9,23
0.9500000000000001,26
1,26
0,29
0.05,29
0.1,30
0.15000000000000002,24
0.2,31
0.25,33
0.30000000000000004,33
0.35000000000000003,24
0.4,30
0.45,26
0.5,27
0.55,26
0.6000000000000001,31
0.65,34
0.7000000000000001,29
0.75,24
0.8,27
0.8500000000000001,17
0.9,32
0.9500000000000001,21
1,24
0,31
0.05,35
0.1,31
0.15000000000000002,32
0.2,35
0.25,21
0.30000000000000004,34
0.35000000000000003,34
0.4,30
0.45,33
0.5,28
0.55,35
0.6000000000000001,32
0.65,27
0.7000000000000001,29
0.75,29
0.8,27
0.8500000000000001,30
0.9,22
0.9500000000000001,23
1,28
0,42
0.05,35
0.1,28
0.15000000000000002,29
0.2,28
0.25,21
0.30000000000000004,39
0.35000000000000003,27
0.4,26
0.45,27
0.5,26
0.55,26
0.6000000000000001,32
0.65,34
0.7000000000000001,29
0.75,27
0.8,25
0.8500000000000001,24
0.9,27
0.9500000000000001,26
1,26
0,33
0.05,30
0.1,31
0.15000000000000002,32
0.2,36
0.25,34
0.30000000000000004,21
0.35000000000000003,31
0.4,36
0.45,28
0.5,17
0.55,24
0.6000000000000001,27
0.65,31
0.7000000000000001,28
0.75,23
0.8,25
0.8500000000000001,20
0.9,29
0.9500000000000001,30
1,23
0,25
0.05,31
0.1,26
0.15000000000000002,29
0.2,33
0.25,27
0.30000000000000004,32
0.35000000000000003,28
0.4,21
0.45,27
0.5,29
0.55,37
0.6000000000000001,27
0.65,22
0.7000000000000001,30
0.75,24
0.8,23
0.8500000000000001,29
0.9,32
0.9500000000000001,24
1,35
0,36
0.05,28
0.1,26
0.15000000000000002,30
0.2,28
0.25,24
0.30000000000000004,35
0.35000000000000003,31
0.4,30
0.45,29
0.5,27
0.55,21
0.6000000000000001,39
0.65,33
0.7000000000000001,30
0.75,22
0.8,35
0.8500000000000001,24
0.9,34
0.9500000000000001,23
1,27
0,34
0.05,28
0.1,32
0.15000000000000002,25
0.2,35
0.25,31
0.30000000000000004,28
0.35000000000000003,35
0.4,27
0.45,25
0.5,34
0.55,28
0.6000000000000001,24
0.65,32
0.7000000000000001,20
0.75,22
0.8,29
0.8500000000000001,26
0.9,21
0.9500000000000001,23
1,35
0,41
0.05,35
0.1,35
0.15000000000000002,30
0.2,30
0.25,27
0.30000000000000004,24
0.35000000000000003,23
0.4,39
0.45,30
0.5,27
0.55,23
0.6000000000000001,28
0.65,24
0.7000000000000001,26
0.75,31
0.8,24
0.8500000000000001,28
0.9,25
0.9500000000000001,29
1,36
0,23
0.05,25
0.1,36
0.15000000000000002,27
0.2,26
0.25,32
0.30000000000000004,30
0.35000000000000003,28
0.4,32
0.45,22
0.5,20
0.55,35
0.6000000000000001,28
0.65,31
0.7000000000000001,25
0.75,23
0.8,30
0.8500000000000001,24
0.9,25
0.9500000000000001,29
1,32
0,26
0.05,26
0.1,33
0.15000000000000002,28
0.2,32
0.25,27
0.30000000000000004,30
0.35000000000000003,27
0.4,32
0.45,30
0.5,24
0.55,27
0.6000000000000001,24
0.65,31
0.7000000000000001,26
0.75,28
0.8,22
0.8500000000000001,32
0.9,24
0.9500000000000001,22
1,32
0,27
0.05,31
0.1,28
0.15000000000000002,36
0.2,31
0.25,32
0.30000000000000004,31
0.35000000000000003,22
0.4,31
0.45,30
0.5,25
0.55,33
0.6000000000000001,32
0.65,28
0.7000000000000001,36
0.75,25
0.8,26
0.8500000000000001,28
0.9,37
0.9500000000000001,16
1,24
0,25
0.05,34
0.1,25
0.15000000000000002,30
0.2,26
0.25,28
0.30000000000000004,37
0.35000000000000003,36
0.4,28
0.45,26
0.5,26
0.55,26
0.6000000000000001,34
0.65,26
0.7000000000000001,28
0.75,25
0.8,30
0.8500000000000001,28
0.9,22
0.9500000000000001,30
1,30
0,35
0.05,37
0.1,27
0.15000000000000002,37
0.2,33
0.25,28
0.30000000000000004,33
0.35000000000000003,35
0.4,33
0.45,36
0.5,30
0.55,36
0.6000000000000001,33
0.65,25
0.7000000000000001,20
0.75,33
0.8,27
0.8500000000000001,15
0.9,21
0.9500000000000001,26
1,28
0,35
0.05,31
0.1,30
0.15000000000000002,26
0.2,33
0.25,37
0.30000000000000004,38
0.35000000000000003,33
0.4,41
0.45,27
0.5,35
0.55,30
0.6000000000000001,31
0.65,21
0.7000000000000001,28
0.75,26
0.8,36
0.8500000000000001,25
0.9,24
0.9500000000000001,22
1,34
0,17
0.05,44
0.1,30
0.15000000000000002,37
0.2,29
0.25,36
0.30000000000000004,23
0.35000000000000003,24
0.4,36
0.45,31
0.5,35
0.55,33
0.6000000000000001,28
0.65,21
0.7000000000000001,25
0.75,27
0.8,28
0.8500000000000001,20
0.9,31
0.9500000000000001,23
1,32
0,38
0.05,32
0.1,38
0.15000000000000002,34
0.2,34
0.25,23
0.30000000000000004,27
0.35000000000000003,27
0.4,25
0.45,29
0.5,29
0.55,25
0.6000000000000001,31
0.65,18
0.7000000000000001,33
0.75,27
0.8,30
0.8500000000000001,31
0.9,27
0.9500000000000001,31
1,17
0,33
0.05,30
0.1,31
0.15000000000000002,23
0.2,28
0.25,27
0.30000000000000004,33
0.35000000000000003,31
0.4,22
0.45,20
0.5,31
0.55,32
0.6000000000000001,29
0.65,39
0.7000000000000001,34
0.75,26
0.8,27
0.8500000000000001,22
0.9,24
0.9500000000000001,26
1,24
0,33
0.05,31
0.1,33
0.15000000000000002,34
0.2,29
0.25,27
0.30000000000000004,30
0.35000000000000003,34
0.4,35
0.45,33
0.5,25
0.55,25
0.6000000000000001,29
0.65,22
0.7000000000000001,30
0.75,26
0.8,26
0.8500000000000001,28
0.9,19
0.9500000000000001,25
1,20
0,42
0.05,35
0.1,28
0.15000000000000002,28
0.2,28
0.25,33
0.30000000000000004,28
0.35000000000000003,26
0.4,27
0.45,28
0.5,25
0.55,25
0.6000000000000001,35
0.65,18
0.7000000000000001,27
0.75,24
0.8,28
0.8500000000000001,24
0.9,21
0.9500000000000001,21
1,20
0,30
0.05,29
0.1,24
0.15000000000000002,38
0.2,38
0.25,32
0.30000000000000004,34
0.35000000000000003,37
0.4,29
0.45,28
0.5,26
0.55,26
0.6000000000000001,30
0.65,28
0.7000000000000001,24
0.75,27
0.8,36
0.8500000000000001,23
0.9,33
0.9500000000000001,30
1,19
0,32
0.05,28
0.1,26
0.15000000000000002,25
0.2,23
0.25,29
0.30000000000000004,15
0.35000000000000003,22
0.4,36
0.45,35
0.5,26
0.55,26
0.6000000000000001,32
0.65,30
0.7000000000000001,28
0.75,31
0.8,28
0.8500000000000001,23
0.9,32
0.9500000000000001,30
1,30
0,32
0.05,32
0.1,39
0.15000000000000002,27
0.2,31
0.25,28
0.30000000000000004,33
0.35000000000000003,22
0.4,28
0.45,38
0.5,27
0.55,31
0.6000000000000001,33
0.65,27
0.7000000000000001,26
0.75,24
0.8,30
0.8500000000000001,27
0.9,29
0.9500000000000001,23
1,25
0,32
0.05,25
0.1,30
0.15000000000000002,35
0.2,30
0.25,28
0.30000000000000004,26
0.35000000000000003,36
0.4,35
0.45,35
0.5,30
0.55,33
0.6000000000000001,25
0.65,25
0.7000000000000001,25
0.75,31
0.8,24
0.8500000000000001,31
0.9,27
0.9500000000000001,29
1,20
0,32
0.05,39
0.1,29
0.15000000000000002,26
0.2,30
0.25,31
0.30000000000000004,38
0.35000000000000003,38
0.4,31
0.45,30
0.5,26
0.55,25
0.6000000000000001,27
0.65,33
0.7000000000000001,26
0.75,29
0.8,25
0.8500000000000001,24
0.9,23
0.9500000000000001,29
1,23
0,31
0.05,32
0.1,32
0.15000000000000002,19
0.2,34
0.25,35
0.30000000000000004,24
0.35000000000000003,23
0.4,25
0.45,37
0.5,22
0.55,29
0.6000000000000001,28
0.65,22
0.7000000000000001,28
0.75,24
0.8,35
0.8500000000000001,18
0.9,16
0.9500000000000001,28
1,30
0,31
0.05,23
0.1,35
0.15000000000000002,30
0.2,36
0.25,34
0.30000000000000004,31
0.35000000000000003,25
0.4,26
0.45,23
0.5,30
0.55,23
0.6000000000000001,21
0.65,24
0.7000000000000001,26
0.75,30
0.8,36
0.8500000000000001,32
0.9,24
0.9500000000000001,25
1,29
0,36
0.05,34
0.1,38
0.15000000000000002,30
0.2,27
0.25,28
0.30000000000000004,25
0.35000000000000003,25
0.4,28
0.45,34
0.5,33
0.55,33
0.6000000000000001,27
0.65,31
0.7000000000000001,29
0.75,37
0.8,30
0.8500000000000001,18
0.9,25
0.9500000000000001,26
1,24
0,29
0.05,36
0.1,35
0.15000000000000002,29
0.2,26
0.25,27
0.30000000000000004,30
0.35000000000000003,30
0.4,32
0.45,21
0.5,39
0.55,30
0.6000000000000001,26
0.65,30
0.7000000000000001,26
0.75,23
0.8,25
0.8500000000000001,23
0.9,25
0.9500000000000001,11
1,28
0,39
0.05,32
0.1,36
0.15000000000000002,33
0.2,39
0.25,25
0.30000000000000004,28
0.35000000000000003,19
0.4,25
0.45,26
0.5,33
0.55,26
0.6000000000000001,34
0.65,27
0.7000000000000001,33
0.75,23
0.8,22
0.8500000000000001,28
0.9,18
0.9500000000000001,18
1,24
0,32
0.05,23
0.1,39
0.15000000000000002,30
0.2,27
0.25,29
0.30000000000000004,31
0.35000000000000003,32
0.4,30
0.45,27
0.5,33
0.55,30
0.6000000000000001,20
0.65,34
0.7000000000000001,28
0.75,23
0.8,22
0.8500000000000001,27
0.9,28
0.9500000000000001,24
1,14
0,27
0.05,31
0.1,38
0.15000000000000002,32
0.2,30
0.25,29
0.30000000000000004,25
0.35000000000000003,30
0.4,24
0.45,38
0.5,34
0.55,25
0.6000000000000001,32
0.65,25
0.7000000000000001,35
0.75,35
0.8,26
0.8500000000000001,28
0.9,25
0.9500000000000001,25
1,29
0,29
0.05,27
0.1,34
0.15000000000000002,29
0.2,41
0.25,30
0.30000000000000004,18
0.35000000000000003,34
0.4,29
0.45,27
0.5,29
0.55,30
0.6000000000000001,25
0.65,27
0.7000000000000001,23
0.75,22
0.8,36
0.8500000000000001,19
0.9,25
0.9500000000000001,28
1,23
0,33
0.05,26
0.1,36
0.15000000000000002,28
0.2,30
0.25,35
0.30000000000000004,23
0.35000000000000003,38
0.4,30
0.45,24
0.5,31
0.55,31
0.6000000000000001,36
0.65,22
0.7000000000000001,27
0.75,35
0.8,26
0.8500000000000001,29
0.9,28
0.9500000000000001,28
1,26
0,35
0.05,38
0.1,19
0.15000000000000002,27
0.2,34
0.25,31
0.30000000000000004,29
0.35000000000000003,32
0.4,25
0.45,31
0.5,30
0.55,31
0.6000000000000001,29
0.65,25
0.7000000000000001,22
0.75,26
0.8,31
0.8500000000000001,36
0.9,30
0.9500000000000001,23
1,23
0,27
0.05,36
0.1,24
0.15000000000000002,32
0.2,27
0.25,28
0.30000000000000004,26
0.35000000000000003,24
0.4,32
0.45,32
0.5,39
0.55,31
0.6000000000000001,25
0.65,29
0.7000000000000001,27
0.75,26
0.8,37
0.8500000000000001,28
0.9,27
0.9500000000000001,33
1,26
0,30
0.05,34
0.1,32
0.15000000000000002,28
0.2,37
0.25,24
0.30000000000000004,33
0.35000000000000003,30
0.4,26
0.45,35
0.5,30
0.55,29
0.6000000000000001,16
0.65,25
0.7000000000000001,26
0.75,20
0.8,31
0.8500000000000001,25
0.9,29
0.9500000000000001,35
1,27
0,32
0.05,30
0.1,42
0.15000000000000002,32
0.2,32
0.25,29
0.30000000000000004,33
0.35000000000000003,24
0.4,24
0.45,23
0.5,31
0.55,23
0.6000000000000001,23
0.65,29
0.7000000000000001,20
0.75,37
0.8,31
0.8500000000000001,25
0.9,25
0.9500000000000001,18
1,16
0,28
0.05,30
0.1,26
0.15000000000000002,32
0.2,34
0.25,31
0.30000000000000004,37
0.35000000000000003,32
0.4,38
0.45,36
0.5,37
0.55,26
0.6000000000000001,21
0.65,41
0.7000000000000001,32
0.75,33
0.8,28
0.8500000000000001,31
0.9,33
0.9500000000000001,25
1,21
0,28
0.05,31
0.1,31
0.15000000000000002,23
0.2,28
0.25,27
0.30000000000000004,21
0.35000000000000003,20
0.4,34
0.45,24
0.5,30
0.55,26
0.6000000000000001,27
0.65,29
0.7000000000000001,38
0.75,29
0.8,27
0.8500000000000001,27
0.9,31
0.9500000000000001,25
1,23
0,27
0.05,40
0.1,31
0.15000000000000002,33
0.2,29
0.25,30
0.30000000000000004,26
0.35000000000000003,29
0.4,27
0.45,37
0.5,28
0.55,26
0.6000000000000001,24
0.65,28
0.7000000000000001,23
0.75,20
0.8,22
0.8500000000000001,28
0.9,24
0.9500000000000001,30
1,32
0,30
0.05,28
0.1,29
0.15000000000000002,30
0.2,25
0.25,35
0.30000000000000004,28
0.35000000000000003,33
0.4,27
0.45,21
0.5,23
0.55,26
0.6000000000000001,35
0.65,24
0.7000000000000001,24
0.75,27
0.8,25
0.8500000000000001,31
0.9,33
0.9500000000000001,30
1,27
0,33
0.05,35
0.1,32
0.15000000000000002,25
0.2,26
0.25,31
0.30000000000000004,26
0.35000000000000003,38
0.4,35
0.45,28
0.5,37
0.55,25
0.6000000000000001,29
0.65,31
0.7000000000000001,29
0.75,17
0.8,29
0.8500000000000001,27
0.9,36
0.9500000000000001,18
1,25
0,31
0.05,26
0.1,22
0.15000000000000002,27
0.2,31
0.25,31
0.30000000000000004,29
0.35000000000000003,33
0.4,23
0.45,20
0.5,35
0.55,25
0.6000000000000001,15
0.65,18
0.7000000000000001,24
0.75,29
0.8,29
0.8500000000000001,22
0.9,29
0.9500000000000001,27
1,35
0,24
0.05,34
0.1,20
0.15000000000000002,30
0.2,32
0.25,28
0.30000000000000004,27
0.35000000000000003,29
0.4,25
0.45,35
0.5,25
0.55,31
0.6000000000000001,20
0.65,25
0.7000000000000001,26
0.75,25
0.8,34
0.8500000000000001,29
0.9,26
0.9500000000000001,36
1,29
0,30
0.05,35
0.1,25
0.15000000000000002,36
0.2,19
0.25,35
0.30000000000000004,30
0.35000000000000003,35
0.4,30
0.45,33
0.5,30
0.55,31
0.6000000000000001,36
0.65,34
0.7000000000000001,31
0.75,26
0.8,22
0.8500000000000001,36
0.9,26
0.9500000000000001,25
1,32
0,25
0.05,26
0.1,22
0.15000000000000002,33
0.2,26
0.25,28
0.30000000000000004,26
0.35000000000000003,31
0.4,42
0.45,29
0.5,26
0.55,27
0.6000000000000001,29
0.65,19
0.7000000000000001,34
0.75,27
0.8,25
0.8500000000000001,32
0.9,26
0.9500000000000001,28
1,33
0,28
0.05,29
0.1,22
0.15000000000000002,24
0.2,28
0.25,39
0.30000000000000004,28
0.35000000000000003,26
0.4,26
0.45,27
0.5,31
0.55,34
0.6000000000000001,22
0.65,33
0.7000000000000001,25
0.75,30
0.8,27
0.8500000000000001,33
0.9,20
0.9500000000000001,24
1,27
0,33
0.05,24
0.1,21
0.15000000000000002,18
0.2,32
0.25,38
0.30000000000000004,25
0.35000000000000003,26
0.4,19
0.45,36
0.5,31
0.55,30
0.6000000000000001,27
0.65,36
0.7000000000000001,28
0.75,25
0.8,36
0.8500000000000001,35
0.9,29
0.9500000000000001,32
1,21
0,33
0.05,30
0.1,34
0.15000000000000002,32
0.2,29
0.25,31
0.30000000000000004,25
0.35000000000000003,23
0.4,35
0.45,35
0.5,22
0.55,38
0.6000000000000001,37
0.65,27
0.7000000000000001,34
0.75,32
0.8,34
0.8500000000000001,26
0.9,27
0.9500000000000001,28
1,25
0,21
0.05,38
0.1,35
0.15000000000000002,33
0.2,33
0.25,31
0.30000000000000004,35
0.35000000000000003,30
0.4,35
0.45,33
0.5,28
0.55,33
0.6000000000000001,23
0.65,22
0.7000000000000001,28
0.75,22
0.8,26
0.8500000000000001,27
0.9,26
0.9500000000000001,30
1,36
0,38
0.05,29
0.1,32
0.15000000000000002,29
0.2,31
0.25,35
0.30000000000000004,25
0.35000000000000003,38
0.4,35
0.45,28
0.5,25
0.55,21
0.6000000000000001,27
0.65,24
0.7000000000000001,36
0.75,33
0.8,22
0.8500000000000001,28
0.9,21
0.9500000000000001,26
1,23
0,29
0.05,20
0.1,33
0.15000000000000002,31
0.2,25
0.25,33
0.30000000000000004,24
0.35000000000000003,26
0.4,29
0.45,33
0.5,24
0.55,35
0.6000000000000001,30
0.65,30
0.7000000000000001,28
0.75,24
0.8,17
0.8500000000000001,28
0.9,24
0.9500000000000001,38
1,36
0,24
0.05,35
0.1,22
0.15000000000000002,30
0.2,34
0.25,30
0.30000000000000004,29
0.35000000000000003,31
0.4,30
0.45,32
0.5,34
0.55,27
0.6000000000000001,26
0.65,27
0.7000000000000001,26
0.75,24
0.8,25
0.8500000000000001,26
0.9,28
0.9500000000000001,24
1,28
0,25
0.05,27
0.1,28
0.15000000000000002,26
0.2,33
0.25,28
0.30000000000000004,36
0.35000000000000003,27
0.4,22
0.45,26
0.5,30
0.55,34
0.6000000000000001,30
0.65,31
0.7000000000000001,36
0.75,32
0.8,25
0.8500000000000001,34
0.9,31
0.9500000000000001,24
1,29
0,37
0.05,30
0.1,26
0.15000000000000002,32
0.2,21
0.25,24
0.30000000000000004,27
0.35000000000000003,32
0.4,24
0.45,20
0.5,25
0.55,30
0.6000000000000001,30
0.65,39
0.7000000000000001,26
0.75,23
0.8,25
0.8500000000000001,38
0.9,27
0.9500000000000001,25
1,33
0,34
0.05,28
0.1,32
0.15000000000000002,29
0.2,27
0.25,32
0.30000000000000004,30
0.35000000000000003,26
0.4,26
0.45,28
0.5,24
0.55,24
0.6000000000000001,37
0.65,32
0.7000000000000001,29
0.75,26
0.8,22
0.8500000000000001,31
0.9,19
0.9500000000000001,20
1,22
0,28
0.05,30
0.1,29
0.15000000000000002,26
0.2,27
0.25,33
0.30000000000000004,23
0.35000000000000003,29
0.4,27
0.45,30
0.5,34
0.55,23
0.6000000000000001,24
0.65,30
0.7000000000000001,25
0.75,22
0.8,36
0.8500000000000001,30
0.9,36
0.9500000000000001,26
1,31
0,29
0.05,25
0.1,30
0.15000000000000002,30
0.2,30
0.25,33
0.30000000000000004,28
0.35000000000000003,32
0.4,25
0.45,24
0.5,32
0.55,26
0.6000000000000001,26
0.65,38
0.7000000000000001,34
0.75,23
0.8,22
0.8500000000000001,26
0.9,24
0.9500000000000001,22
1,33
0,29
0.05,36
0.1,31
0.15000000000000002,34
0.2,37
0.25,27
0.30000000000000004,35
0.35000000000000003,22
0.4,35
0.45,25
0.5,28
0.55,28
0.6000000000000001,30
0.65,31
0.7000000000000001,29
0.75,31
0.8,28
0.8500000000000001,27
0.9,24
0.9500000000000001,33
1,26
0,37
0.05,29
0.1,21
0.15000000000000002,29
0.2,31
0.25,36
0.30000000000000004,29
0.35000000000000003,30
0.4,17
0.45,22
0.5,29
0.55,27
0.6000000000000001,28
0.65,22
0.7000000000000001,29
0.75,31
0.8,28
0.8500000000000001,30
0.9,27
0.9500000000000001,27
1,20
0,28
0.05,26
0.1,26
0.15000000000000002,27
0.2,31
0.25,25
0.30000000000000004,23
0.35000000000000003,27
0.4,21
0.45,42
0.5,22
0.55,33
0.6000000000000001,27
0.65,23
0.7000000000000001,27
0.75,31
0.8,27
0.8500000000000001,27
0.9,27
0.9500000000000001,37
1,24
0,29
0.05,23
0.1,21
0.15000000000000002,39
0.2,27
0.25,25
0.30000000000000004,36
0.35000000000000003,29
0.4,29
0.45,25
0.5,25
0.55,30
0.6000000000000001,30
0.65,31
0.7000000000000001,31
0.75,32
0.8,20
0.8500000000000001,26
0.9,27
0.9500000000000001,30
1,33
0,34
0.05,26
0.1,34
0.15000000000000002,28
0.2,38
0.25,31
0.30000000000000004,33
0.35000000000000003,32
0.4,32
0.45,32
0.5,28
0.55,29
0.6000000000000001,27
0.65,29
0.7000000000000001,28
0.75,32
0.8,22
0.8500000000000001,26
0.9,24
0.9500000000000001,37
1,31
0,23
0.05,34
0.1,29
0.15000000000000002,21
0.2,34
0.25,24
0.30000000000000004,34
0.35000000000000003,27
0.4,30
0.45,27
0.5,32
0.55,24
0.6000000000000001,23
0.65,29
0.7000000000000001,27
0.75,30
0.8,29
0.8500000000000001,26
0.9,30
0.9500000000000001,22
1,27
0,29
0.05,37
0.1,29
0.15000000000000002,23
0.2,28
0.25,26
0.30000000000000004,23
0.35000000000000003,27
0.4,25
0.45,35
0.5,22
0.55,33
0.6000000000000001,28
0.65,29
0.7000000000000001,29
0.75,28
0.8,24
0.8500000000000001,20
0.9,14
0.9500000000000001,24
1,26
0,30
0.05,36
0.1,30
0.15000000000000002,25
0.2,35
0.25,24
0.30000000000000004,27
0.35000000000000003,28
0.4,26
0.45,23
0.5,38
0.55,28
0.6000000000000001,36
0.65,30
0.7000000000000001,29
0.75,19
0.8,23
0.8500000000000001,36
0.9,26
0.9500000000000001,23
1,27
0,32
0.05,23
0.1,18
0.15000000000000002,31
0.2,34
0.25,32
0.30000000000000004,31
0.35000000000000003,33
0.4,33
0.45,29
0.5,32
0.55,21
0.6000000000000001,34
0.65,29
0.7000000000000001,32
0.75,36
0.8,30
0.8500000000000001,31
0.9,27
0.9500000000000001,30
1,24
0,25
0.05,29
0.1,38
0.15000000000000002,25
0.2,27
0.25,27
0.30000000000000004,36
0.35000000000000003,26
0.4,21
0.45,15
0.5,20
0.55,30
0.6000000000000001,28
0.65,30
0.7000000000000001,20
0.75,32
0.8,27
0.8500000000000001,26
0.9,27
0.9500000000000001,29
1,22
0,31
0.05,38
0.1,36
0.15000000000000002,32
0.2,31
0.25,22
0.30000000000000004,48
0.35000000000000003,37
0.4,26
0.45,26
0.5,24
0.55,30
0.6000000000000001,30
0.65,26
0.7000000000000001,26
0.75,30
0.8,24
0.8500000000000001,25
0.9,30
0.9500000000000001,32
1,23
0,28
0.05,21
0.1,30
0.15000000000000002,33
0.2,37
0.25,25
0.30000000000000004,32
0.35000000000000003,24
0.4,21
0.45,25
0.5,30
0.55,25
0.6000000000000001,27
0.65,27
0.7000000000000001,20
0.75,30
0.8,22
0.8500000000000001,31
0.9,28
0.9500000000000001,40
1,23
0,32
0.05,31
0.1,30
0.15000000000000002,34
0.2,24
0.25,27
0.30000000000000004,28
0.35000000000000003,24
0.4,31
0.45,21
0.5,32
0.55,35
0.6000000000000001,32
0.65,25
0.7000000000000001,23
0.75,34
0.8,30
0.8500000000000001,20
0.9,32
0.9500000000000001,27
1,24
0,23
0.05,37
0.1,30
0.15000000000000002,35
0.2,25
0.25,35
0.30000000000000004,32
0.35000000000000003,34
0.4,40
0.45,27
0.5,26
0.55,19
0.6000000000000001,17
0.65,31
0.7000000000000001,29
0.75,31
0.8,32
0.8500000000000001,22
0.9,31
0.9500000000000001,22
1,23
0,40
0.05,22
0.1,28
0.15000000000000002,26
0.2,38
0.25,24
0.30000000000000004,27
0.35000000000000003,31
0.4,35
0.45,21
0.5,25
0.55,33
0.6000000000000001,24
0.65,25
0.7000000000000001,28
0.75,36
0.8,22
0.8500000000000001,29
0.9,10
0.9500000000000001,31
1,30
0,31
0.05,26
0.1,34
0.15000000000000002,30
0.2,32
0.25,26
0.30000000000000004,28
0.35000000000000003,40
0.4,29
0.45,26
0.5,26
0.55,32
0.6000000000000001,22
0.65,32
0.7000000000000001,23
0.75,25
0.8,33
0.8500000000000001,31
0.9,33
0.9500000000000001,39
1,26
0,33
0.05,29
0.1,43
0.15000000000000002,26
0.2,35
0.25,37
0.30000000000000004,28
0.35000000000000003,24
0.4,17
0.45,27
0.5,23
0.55,21
0.6000000000000001,31
0.65,28
0.7000000000000001,31
0.75,32
0.8,32
0.8500000000000001,22
0.9,29
0.9500000000000001,26
1,20
0,25
0.05,29
0.1,23
0.15000000000000002,29
0.2,29
0.25,32
0.30000000000000004,35
0.35000000000000003,25
0.4,33
0.45,35
0.5,33
0.55,24
0.6000000000000001,26
0.65,31
0.7000000000000001,24
0.75,33
0.8,22
0.8500000000000001,25
0.9,29
0.9500000000000001,28
1,35
0,39
0.05,27
0.1,26
0.15000000000000002,28
0.2,25
0.25,35
0.30000000000000004,26
0.35000000000000003,31
0.4,25
0.45,25
0.5,28
0.55,27
0.6000000000000001,28
0.65,37
0.7000000000000001,33
0.75,30
0.8,27
0.8500000000000001,28
0.9,33
0.9500000000000001,25
1,34
0,28
0.05,36
0.1,32
0.15000000000000002,32
0.2,39
0.25,34
0.30000000000000004,26
0.35000000000000003,20
0.4,31
0.45,28
0.5,24
0.55,31
0.6000000000000001,30
0.65,38
0.7000000000000001,22
0.75,28
0.8,19
0.8500000000000001,29
0.9,29
0.9500000000000001,35
1,29
0,27
0.05,29
0.1,31
0.15000000000000002,29
0.2,25
0.25,30
0.30000000000000004,27
0.35000000000000003,26
0.4,24
0.45,38
0.5,22
0.55,36
0.6000000000000001,30
0.65,27
0.7000000000000001,29
0.75,27
0.8,27
0.8500000000000001,26
0.9,21
0.9500000000000001,25
1,35
0,27
0.05,36
0.1,24
0.15000000000000002,31
0.2,29
0.25,27
0.30000000000000004,25
0.35000000000000003,32
0.4,39
0.45,22
0.5,26
0.55,32
0.6000000000000001,30
0.65,29
0.7000000000000001,38
0.75,36
0.8,20
0.8500000000000001,20
0.9,29
0.9500000000000001,31
1,34
0,33
0.05,27
0.1,39
0.15000000000000002,35
0.2,41
0.25,27
0.30000000000000004,35
0.35000000000000003,23
0.4,23
0.45,31
0.5,27
0.55,27
0.6000000000000001,25
0.65,21
0.7000000000000001,29
0.75,30
0.8,27
0.8500000000000001,23
0.9,27
0.9500000000000001,28
1,23
0,23
